"Method","Metric","K","Q_TC","B_TC","Q_RE","B_RE","Q_LC","B_LC","rep","scenario"
"C-PCA","Int-Euclidean",10,0.938250732278852,0.0485483304042179,0.93127642084711,0.0569886056510726,0.356,0.063,2,"I"
"C-PCA","Int-Euclidean",20,0.943306740878169,0.0399641311069883,0.928060101749076,0.0529368814225573,0.491,0.0936666666666666,2,"I"
"C-PCA","Int-Euclidean",40,0.952630132219903,0.024624913013222,0.923567381984345,0.047704010614499,0.645833333333333,0.127333333333333,2,"I"
"V-PCA","Int-Euclidean",5,0.935965753424657,0.0596027397260274,0.933568258811756,0.0620278727924469,0.264666666666667,0.0266666666666667,2,"I"
"V-PCA","Int-Euclidean",10,0.93833216168717,0.0482917398945518,0.931307657399787,0.0567187342402941,0.355,0.0633333333333333,2,"I"
"V-PCA","Int-Euclidean",20,0.94308719851577,0.0404836116264689,0.927991140468257,0.0529507422178766,0.491166666666667,0.0955,2,"I"
"V-PCA","Int-Euclidean",40,0.952710160055672,0.0245205288796103,0.923564857390726,0.0476036933771649,0.646916666666667,0.12875,2,"I"
"MR-PCA","Int-Euclidean",5,0.757995433789954,0.245164383561644,0.755797672072249,0.270003527163258,0.103333333333333,0.0186666666666667,2,"I"
"MR-PCA","Int-Euclidean",10,0.742374926772115,0.222094903339191,0.746361883453439,0.253774495332479,0.142,0.028,2,"I"
"MR-PCA","Int-Euclidean",20,0.730051638837353,0.195768089053803,0.735935310864476,0.237782045698837,0.204333333333333,0.0475,2,"I"
"MR-PCA","Int-Euclidean",40,0.715709986082116,0.157482602644398,0.722063114698234,0.219675756169533,0.290416666666667,0.06925,2,"I"
"SPCA","Int-Euclidean",5,0.936208904109589,0.0591940639269406,0.933691053309381,0.062016717113304,0.266,0.0253333333333333,2,"I"
"SPCA","Int-Euclidean",10,0.938250732278852,0.0485483304042179,0.93127642084711,0.0569886056510726,0.356,0.063,2,"I"
"SPCA","Int-Euclidean",20,0.943306740878169,0.0399641311069883,0.928060101749076,0.0529368814225573,0.491,0.0936666666666666,2,"I"
"SPCA","Int-Euclidean",40,0.952630132219903,0.024624913013222,0.923567381984345,0.047704010614499,0.645833333333333,0.127333333333333,2,"I"
"IMDS","Int-Euclidean",5,0.49511301369863,-0.0392990867579909,0.488558005430191,-0.0258295805956805,0.0166666666666667,0.00333333333333333,2,"I"
"IMDS","Int-Euclidean",10,0.511504979496192,-0.0460046865846514,0.494810985619395,-0.0317351784499565,0.0356666666666667,0.002,2,"I"
"IMDS","Int-Euclidean",20,0.528937847866419,-0.0604421768707484,0.499619644680869,-0.0384782404771756,0.0793333333333333,0.0065,2,"I"
"IMDS","Int-Euclidean",40,0.540717292971468,-0.0521388308977035,0.499560011605822,-0.0385452304644383,0.142916666666667,-0.00275,2,"I"
"Int-UMAP","Int-Euclidean",5,0.791455479452055,-0.0943356164383561,0.794873883406748,-0.0861768011090058,0.122,0.00666666666666666,2,"I"
