"IDR","Metric","col","frac","cp_lo","cp_hi","qc"
"C-PCA","Wasserstein","B_TC",1,0.862814828469287,1,NA
"C-PCA","Wasserstein","Q_RE",1,0.862814828469287,1,0.80812995858754
"C-PCA","Wasserstein","B_RE",1,0.862814828469287,1,NA
"C-PCA","Wasserstein","Q_LC",1,0.862814828469287,1,0.295640423529412
"C-PCA","Wasserstein","B_LC",1,0.862814828469287,1,NA
"IMDS","Wasserstein","Q_TC",1,0.862814828469287,1,0.0844849122737938
"IMDS","Wasserstein","B_TC",0.88,0.687809692713765,0.974534603352267,NA
"IMDS","Wasserstein","Q_RE",1,0.862814828469287,1,0.0944475379476549
"IMDS","Wasserstein","B_RE",0.96,0.796483086077586,0.998987800300689,NA
"IMDS","Wasserstein","Q_LC",1,0.862814828469287,1,0.0229615280276817
"IMDS","Wasserstein","B_LC",0.04,0.00101219969931085,0.203516913922414,NA
"Int-UMAP","Wasserstein","Q_TC",1,0.862814828469287,1,0.605463091650957
"Int-UMAP","Wasserstein","B_TC",0.48,0.277968009669947,0.686942955542968,NA
"Int-UMAP","Wasserstein","Q_RE",1,0.862814828469287,1,0.66258000877315
"Int-UMAP","Wasserstein","B_RE",0.4,0.211254806465142,0.61334650374316,NA
"Int-UMAP","Wasserstein","Q_LC",1,0.862814828469287,1,0.284316979700115
"Int-UMAP","Wasserstein","B_LC",0.6,0.38665349625684,0.788745193534858,NA
"MR-PCA","Wasserstein","Q_TC",1,0.862814828469287,1,0.801884846632462
"MR-PCA","Wasserstein","B_TC",1,0.862814828469287,1,NA
"MR-PCA","Wasserstein","Q_RE",1,0.862814828469287,1,0.796991982215423
"MR-PCA","Wasserstein","B_RE",1,0.862814828469287,1,NA
"MR-PCA","Wasserstein","Q_LC",1,0.862814828469287,1,0.283282308650519
"MR-PCA","Wasserstein","B_LC",1,0.862814828469287,1,NA
"SPCA","Wasserstein","Q_TC",1,0.862814828469287,1,0.811763623258163
"SPCA","Wasserstein","B_TC",1,0.862814828469287,1,NA
"SPCA","Wasserstein","Q_RE",1,0.862814828469287,1,0.808129909295701
"SPCA","Wasserstein","B_RE",1,0.862814828469287,1,NA
"SPCA","Wasserstein","Q_LC",1,0.862814828469287,1,0.295641044290657
"SPCA","Wasserstein","B_LC",1,0.862814828469287,1,NA
"V-PCA","Wasserstein","Q_TC",1,0.862814828469287,1,0.811712952491747
"V-PCA","Wasserstein","B_TC",1,0.862814828469287,1,NA
"V-PCA","Wasserstein","Q_RE",1,0.862814828469287,1,0.808015912499089
"V-PCA","Wasserstein","B_RE",1,0.862814828469287,1,NA
"V-PCA","Wasserstein","Q_LC",1,0.862814828469287,1,0.29559759100346
"V-PCA","Wasserstein","B_LC",1,0.862814828469287,1,NA
