"level","Method","Metric","index","primary","mean_qc_diff","mcse","n_rep"
"L1","SPCA","Hausdorff","Q_TC",FALSE,0.0885779205345424,0.00110433504695748,25
"L1","SPCA","Hausdorff","Q_RE",FALSE,0.0873198560347184,0.00133479683842875,25
"L1","SPCA","Hausdorff","Q_LC",FALSE,0.0721462514417532,0.00171742559621621,25
"L1","SPCA","Ichino-Yaguchi","Q_TC",FALSE,-0.00708761882034761,0.00121382652101501,25
"L1","SPCA","Ichino-Yaguchi","Q_RE",FALSE,-0.00564405639021132,0.00127638006488177,25
"L1","SPCA","Ichino-Yaguchi","Q_LC",FALSE,0.000137946943483276,0.00169769108830609,25
"L1","SPCA","Wasserstein","Q_TC",TRUE,0.0046135166050193,0.000915670493031305,25
"L1","SPCA","Wasserstein","Q_RE",FALSE,0.00444725226030176,0.00106474959335732,25
"L1","SPCA","Wasserstein","Q_LC",FALSE,0.00502126874279124,0.00150996252162462,25
"L1","SPCA","CR-Euclidean","Q_TC",FALSE,0.017572062204192,0.00111807852024276,25
"L1","SPCA","CR-Euclidean","Q_RE",FALSE,0.0189441921954214,0.00120235964686231,25
"L1","SPCA","CR-Euclidean","Q_LC",FALSE,0.0214921337946943,0.00165592842462511,25
"L1","IMDS","Int-Euclidean","Q_TC",FALSE,-0.0296709129379946,0.003856626902158,25
"L1","IMDS","Int-Euclidean","Q_RE",FALSE,-0.0395474526547296,0.00447051890899606,25
"L1","IMDS","Int-Euclidean","Q_LC",FALSE,-0.00195884659746251,0.000930443356550936,25
"L1","IMDS","Hausdorff","Q_TC",FALSE,0.0780097072043909,0.00170312486107649,25
"L1","IMDS","Hausdorff","Q_RE",FALSE,0.086914924494483,0.00209121592374991,25
"L1","IMDS","Hausdorff","Q_LC",FALSE,0.0171468050749712,0.000834483997883727,25
"L1","IMDS","Ichino-Yaguchi","Q_TC",FALSE,0.00719545527582228,0.0014473247001657,25
"L1","IMDS","Ichino-Yaguchi","Q_RE",FALSE,0.0103004893568708,0.00171663798659366,25
"L1","IMDS","Ichino-Yaguchi","Q_LC",FALSE,0.00209679354094579,0.000579787573648589,25
"L1","IMDS","Wasserstein","Q_TC",TRUE,0.00812569335401502,0.00108526292467059,25
"L1","IMDS","Wasserstein","Q_RE",FALSE,0.00934619208263361,0.00177839075738494,25
"L1","IMDS","Wasserstein","Q_LC",FALSE,0.00299344867358708,0.000527816084377669,25
"L1","IMDS","CR-Euclidean","Q_TC",FALSE,0.0222453935552639,0.00160663462836241,25
"L1","IMDS","CR-Euclidean","Q_RE",FALSE,0.026208020194235,0.0021284175253309,25
"L1","IMDS","CR-Euclidean","Q_LC",FALSE,0.00744913494809689,0.000709846162383332,25
"L1","Int-UMAP","Int-Euclidean","Q_TC",FALSE,-0.0359926883824524,0.00315478558567497,25
"L1","Int-UMAP","Int-Euclidean","Q_RE",FALSE,-0.0252059195250015,0.00303786070081533,25
"L1","Int-UMAP","Int-Euclidean","Q_LC",FALSE,0.00346246828143022,0.00227172063557201,25
"L1","Int-UMAP","Hausdorff","Q_TC",FALSE,0.0540541292606292,0.00250693309690878,25
"L1","Int-UMAP","Hausdorff","Q_RE",FALSE,0.0685988710843758,0.0024280569498895,25
"L1","Int-UMAP","Hausdorff","Q_LC",FALSE,0.0458397693194925,0.00219082808584996,25
"L1","Int-UMAP","Ichino-Yaguchi","Q_TC",FALSE,0.00334568905858486,0.00233556113200346,25
"L1","Int-UMAP","Ichino-Yaguchi","Q_RE",FALSE,0.0244971861551949,0.0024173231178839,25
"L1","Int-UMAP","Ichino-Yaguchi","Q_LC",FALSE,0.0219887427912341,0.00168059069029103,25
"L1","Int-UMAP","Wasserstein","Q_TC",TRUE,0.0127231795728433,0.00169600346871704,25
"L1","Int-UMAP","Wasserstein","Q_RE",FALSE,0.026873770513623,0.00189527041121049,25
"L1","Int-UMAP","Wasserstein","Q_LC",FALSE,0.0191746251441753,0.00139745768793935,25
"L1","Int-UMAP","CR-Euclidean","Q_TC",FALSE,0.0155802510440281,0.00230861974869731,25
"L1","Int-UMAP","CR-Euclidean","Q_RE",FALSE,0.035098340886359,0.00226770758879711,25
"L1","Int-UMAP","CR-Euclidean","Q_LC",FALSE,0.0308449365628604,0.0019812202045609,25
"L2","C-PCA","Int-Euclidean","Q_TC",FALSE,0.128864754563895,0.00260391311647627,25
"L2","C-PCA","Int-Euclidean","Q_RE",FALSE,0.124050041922776,0.00252002274131285,25
"L2","C-PCA","Int-Euclidean","Q_LC",FALSE,0.103501591695502,0.00241828179015142,25
"L2","C-PCA","Hausdorff","Q_TC",FALSE,0.201493630036193,0.00154939204390689,25
