"scenario","Method","Metric","K","Q_TC.mean","Q_TC.sd","Q_TC.mcse","Q_TC.q025","Q_TC.q975","B_TC.mean","B_TC.sd","B_TC.mcse","B_TC.q025","B_TC.q975","Q_RE.mean","Q_RE.sd","Q_RE.mcse","Q_RE.q025","Q_RE.q975","B_RE.mean","B_RE.sd","B_RE.mcse","B_RE.q025","B_RE.q975","Q_LC.mean","Q_LC.sd","Q_LC.mcse","Q_LC.q025","Q_LC.q975","B_LC.mean","B_LC.sd","B_LC.mcse","B_LC.q025","B_LC.q975"
"II","IMDS","Int-Euclidean",40,0.545146402129817,0.0135868468086585,0.0027173693617317,0.523380125929682,0.565178304597701,-0.0307283451656525,0.0241862742295099,0.00483725484590198,-0.0654918695064233,0.00517017410412441,0.564480544286707,0.016067271306276,0.00321345426125519,0.537774774013108,0.588479131925059,-0.0546136973414425,0.0223352392338486,0.00446704784676971,-0.0861328187316884,-0.0156124197612804,0.0940975,0.0128079333833403,0.00256158667666806,0.07050625,0.11321875,-0.00618,0.00287280940094651,0.000574561880189303,-0.01158125,-0.000787500000000005
"III","IMDS","Int-Euclidean",40,0.53943564516129,0.0350143230234084,0.00700286460468167,0.474796774193548,0.605393189964158,-0.00313523297491039,0.027892471028784,0.0055784942057568,-0.0570413978494624,0.0328489247311828,0.495082971381368,0.0427021681750589,0.00854043363501177,0.430433544874873,0.583801574223651,-0.00122059814940468,0.0664002419533554,0.0132800483906711,-0.110028982289029,0.106960676912541,0.20068,0.0257217958402986,0.00514435916805971,0.1536,0.2365,0.00125,0.0193476621649749,0.00386953243299497,-0.03,0.0411
"IV","IMDS","Int-Euclidean",40,0.509639981071677,0.0111087722322165,0.0022217544464433,0.491295393180237,0.524916035490606,0.0320397867780097,0.020095874322338,0.0040191748644676,-0.000603554627696584,0.0658302658315936,0.513804351300301,0.00941093545627573,0.00188218709125515,0.497976777796783,0.530330483883449,-0.0196928008943191,0.0163809671412366,0.00327619342824732,-0.0433581675774996,0.00994102652268259,0.137958533333333,0.00582640851513052,0.0011652817030261,0.130950666666667,0.148589666666667,-0.005384,0.00450299308896419,0.000900598617792837,-0.01236,0.00204833333333333
"I","Int-UMAP","Int-Euclidean",40,0.793625734168407,0.0126198422113663,0.00252396844227325,0.773295894224078,0.816307063326374,-0.0993145720250523,0.0176240986589413,0.00352481973178826,-0.129524704244955,-0.0724617954070981,0.766644281250376,0.0105111278171582,0.00210222556343163,0.749875455872276,0.788360188861527,-0.078973635844763,0.0242702255717404,0.00485404511434808,-0.116749354768204,-0.0385906020513808,0.372266666666667,0.0158615246102939,0.00317230492205879,0.347516666666667,0.400483333333333,0.00614333333333334,0.0118425365229032,0.00236850730458064,-0.0192,0.0255833333333333
"II","Int-UMAP","Int-Euclidean",40,0.740918034144692,0.0735298240321789,0.0147059648064358,0.631503317275186,0.833966784989858,0.0290456997971602,0.0213211132677667,0.00426422265355334,0.00248428837052064,0.0765853363759296,0.845764256775152,0.04917211920718,0.00983442384143601,0.772107225681186,0.907582814369617,0.022859444864486,0.0130297276155104,0.00260594552310209,0.00275475714910721,0.0489116207163822,0.364935,0.0848601018811316,0.0169720203762263,0.2424,0.46784375,-0.00421625,0.0147940283472617,0.00295880566945234,-0.0304625,0.01629375
"III","Int-UMAP","Int-Euclidean",40,0.529444247311828,0.15653379495452,0.0313067589909041,0.264797311827957,0.759575089605734,-0.00744612903225803,0.072795414306533,0.0145590828613066,-0.138340501792115,0.114074014336918,0.476348817296057,0.166284891194816,0.0332569782389632,0.211094526073355,0.741207161199618,-0.00581537778667349,0.0816042796771664,0.0163208559354333,-0.140545861041764,0.140244069895693,0.18388,0.122266553071558,0.0244533106143115,0.0177,0.409325,-0.00039,0.0218669127907897,0.00437338255815793,-0.03685,0.041025
"IV","Int-UMAP","Int-Euclidean",40,0.756786342379958,0.0443323958670882,0.00886647917341765,0.689236942240779,0.829186040361865,0.0267721547668754,0.0297380731284092,0.00594761462568183,-0.0157834975643703,0.0848003590814196,0.769923053861916,0.0367767179790911,0.00735534359581822,0.712549582689295,0.829822752611966,0.048670726315653,0.0357672163740115,0.00715344327480229,-0.000287249313817316,0.110077476045498,0.3901816,0.0436524272411775,0.0087304854482355,0.318816666666667,0.465718,0.0204556,0.0170135994139547,0.00340271988279093,-0.00805933333333332,0.047424
"I","MR-PCA","Int-Euclidean",40,0.709863215031315,0.00807215916964243,0.00161443183392849,0.695324425887266,0.72305347947112,0.142848545581072,0.00687980806572096,0.00137596161314419,0.129884481558803,0.154087404314544,0.71685650056743,0.00450957529000104,0.000901915058000207,0.70903114809571,0.724731669572855,0.209402073321658,0.00554646064204283,0.00110929212840857,0.199456514777417,0.218511861102162,0.284663333333333,0.00613734017669252,0.0012274680353385,0.272983333333333,0.29475,0.0619933333333333,0.00557139685922328,0.00111427937184466,0.0546166666666667,0.073
"II","MR-PCA","Int-Euclidean",40,0.892720929682218,0.00299462496647937,0.000598924993295874,0.887740496112238,0.898117803414469,0.0815916768086545,0.00440643969632323,0.000881287939264646,0.0732687711291413,0.0888859617985125,0.903745961459161,0.00279227276618398,0.000558454553236796,0.89876800587107,0.908970119718318,0.11261193137369,0.00513042777185397,0.00102608555437079,0.102939872802522,0.121043335662805,0.4101825,0.00653344684943369,0.00130668936988674,0.40036875,0.42116875,0.10574125,0.00632054922043304,0.00126410984408661,0.096425,0.11724375
"III","MR-PCA","Int-Euclidean",40,0.570673602150538,0.0147479209238993,0.00294958418477986,0.542910215053763,0.594730913978495,0.00920433691756271,0.0190248722344798,0.00380497444689596,-0.0231189964157706,0.0398370967741935,0.523351088865736,0.0252151608038377,0.00504303216076754,0.487308453777719,0.571247401949309,0.00277419748542271,0.046284693561556,0.00925693871231119,-0.0702523037910135,0.0795313209872858,0.2203,0.00857814871733212,0.00171562974346642,0.2047,0.233175,0.001415,0.00773829088580504,0.00154765817716101,-0.012775,0.013825
