"Method","Metric","Q_TC","B_TC","Q_RE","B_RE","Q_LC","B_LC","tie_affected","tie_spread","rep","dr_input","eval_geom"
"SPCA","Hausdorff",0.913522386870618,0.125588750796686,0.916904164557666,0.130303420368315,0.36125,0.08725,FALSE,0,3,"raw","std"
"SPCA","Ichino-Yaguchi",0.913953871892925,0.125816284257489,0.917193277840813,0.130691068763913,0.36275,0.09225,FALSE,0,3,"raw","std"
"SPCA","Wasserstein",0.914000956022945,0.125710962396431,0.917174285319598,0.130708530606995,0.36275,0.092,FALSE,0,3,"raw","std"
"SPCA","Centers-Euclidean",0.913950924155513,0.125811026131294,0.917256987360155,0.13053816600279,0.362625,0.0915,FALSE,0,3,"raw","std"
"IMDS","Int-Euclidean",0.59060460484385,-0.072119980879541,0.597188396112035,-0.0847253701562716,0.042875,-0.000875000000000001,TRUE,0,3,"raw","std"
"IMDS","Hausdorff",0.623198852772467,-0.03082982791587,0.635870209924253,-0.0477530412685155,0.052375,-0.0045,TRUE,0,3,"raw","std"
"IMDS","Ichino-Yaguchi",0.636735420650096,-0.0291951880178457,0.645497795166691,-0.0383035104859769,0.053875,-0.000875000000000001,TRUE,0,3,"raw","std"
"IMDS","Wasserstein",0.627933397068196,-0.0531096239643085,0.637078042385923,-0.062133496415168,0.0535,-0.003125,TRUE,0,3,"raw","std"
"IMDS","Centers-Euclidean",0.621075207138305,-0.07538304652645,0.631764895025078,-0.0895282852174109,0.0565,-0.005625,TRUE,0,3,"raw","std"
"Int-UMAP","Int-Euclidean",0.885932281708094,0.0299094964945825,0.931619103690499,0.0206689144476738,0.55525,-0.024625,FALSE,0,3,"raw","std"
"Int-UMAP","Hausdorff",0.885439929891651,0.029668260038241,0.930944307391388,0.0191256592919456,0.548375,-0.032625,FALSE,0,3,"raw","std"
"Int-UMAP","Ichino-Yaguchi",0.885686105799873,0.0299193753983429,0.93167117788092,0.0190019684290491,0.554125,-0.038,FALSE,0,3,"raw","std"
"Int-UMAP","Wasserstein",0.885663718929254,0.0298252071383047,0.931386066261261,0.0192469479412486,0.552625,-0.0375,FALSE,0,3,"raw","std"
"Int-UMAP","Centers-Euclidean",0.885636472275335,0.0298503824091778,0.931268286251226,0.0195677205443192,0.553625,-0.036125,FALSE,0,3,"raw","std"
"C-PCA","Int-Euclidean",0.919202039515615,0.118237093690249,0.918678552751288,0.13007556683711,0.360875,0.10075,FALSE,0,4,"raw","std"
"C-PCA","Hausdorff",0.918609066284257,0.117409337157425,0.918121087366621,0.129370656930035,0.35825,0.083125,FALSE,0,4,"raw","std"
"C-PCA","Ichino-Yaguchi",0.919143483110261,0.117306086679414,0.918568552906531,0.129339452676584,0.360625,0.091625,FALSE,0,4,"raw","std"
"C-PCA","Wasserstein",0.919132488846399,0.117364722753346,0.918416061070006,0.129634612117034,0.360625,0.091625,FALSE,0,4,"raw","std"
"C-PCA","Centers-Euclidean",0.919140854047164,0.117302103250478,0.918485523853587,0.129481166218936,0.360625,0.0915,FALSE,0,4,"raw","std"
"V-PCA","Int-Euclidean",0.919183954748247,0.1182821861058,0.918684762041605,0.130067304416525,0.360875,0.101,FALSE,0,4,"raw","std"
"V-PCA","Hausdorff",0.918582138304653,0.117472434671765,0.918119482372337,0.129375435554484,0.358125,0.082875,FALSE,0,4,"raw","std"
