"Method","Metric","pre_Q_TC","pre_B_TC","pre_Q_RE","pre_B_RE","pre_Q_LC","pre_B_LC","post_Q_TC","post_B_TC","post_Q_RE","post_B_RE","post_Q_LC","post_B_LC","replication","max_abs_mean_delta"
"Int-UMAP","Ichino-Yaguchi",0.81644144112478,-0.00147653192735795,0.838954918333156,0.00594373806676028,0.332666666666667,0.00903333333333333,0.816441241944933,-0.0014768365553603,0.838954614042739,0.00594264755843824,0.332666666666667,0.00908666666666666,34,5.33333333333341e-05
"Int-UMAP","Int-Euclidean",0.795910603397774,0.00129537199765669,0.810385637710335,0.00919492112413517,0.300466666666667,0.0242666666666667,0.795910603397774,0.0012950908025776,0.810385923885485,0.00919461006352164,0.3005,0.02418,34,8.66666666666654e-05
"Int-UMAP","Wasserstein",0.809060128881078,0.000645155243116597,0.833027398848882,0.00812446072157404,0.319333333333333,0.00849333333333333,0.809059835969537,0.000644522554188656,0.833027840370116,0.00812342710746943,0.319333333333333,0.00853333333333333,34,3.99999999999984e-05
"MR-PCA","Centers-Euclidean",0.872812126537786,0.110694200351494,0.874535800479072,0.114874250546106,0.273666666666667,0.0448533333333333,0.872811681312244,0.110693684827182,0.874535385025399,0.114874454296795,0.273666666666667,0.0448466666666667,34,6.66666666666871e-06
"MR-PCA","Hausdorff",0.879442741652021,0.0968317281780902,0.882689184218901,0.0986748277476138,0.288333333333333,0.0412866666666667,0.879443011130638,0.0968314235500879,0.882688997201805,0.0986752638649719,0.288333333333333,0.0413866666666667,34,0.000100000000000003
"MR-PCA","Ichino-Yaguchi",0.875660550673697,0.105892396016403,0.876859741768415,0.11053010227603,0.276333333333333,0.0425066666666667,0.875660281195079,0.105892138254247,0.876849077940626,0.110551233488434,0.276333333333333,0.0425066666666667,34,2.11312124041019e-05
"MR-PCA","Int-Euclidean",0.873201698886936,0.110555571177504,0.872944797272516,0.118168925317973,0.269333333333333,0.0527133333333333,0.873201370826011,0.110555008787346,0.872944481498863,0.118168974966084,0.269333333333333,0.05274,34,2.66666666666679e-05
"MR-PCA","Wasserstein",0.875087533684827,0.106420785002929,0.87687288998215,0.110927057990191,0.276666666666667,0.03716,0.875087170474517,0.106420667838313,0.876872609425803,0.110927472706972,0.276666666666667,0.0372266666666667,34,6.66666666666663e-05
"SPCA","Centers-Euclidean",0.87281186877563,0.110693216168717,0.874535497125123,0.114873298665626,0.273666666666667,0.04484,0.872812267135325,0.110693731693029,0.874535419551868,0.114873625937868,0.273666666666667,0.0448133333333333,34,2.66666666666679e-05
"SPCA","Hausdorff",0.894589748096075,0.0889395430579965,0.896557901456943,0.0929446791087842,0.323333333333333,0.0518466666666667,0.894589818394845,0.08893949619215,0.896557471219371,0.0929447116241518,0.323333333333333,0.05188,34,3.33333333333297e-05
"SPCA","Ichino-Yaguchi",0.878814212067956,0.102469056824839,0.880460816418204,0.106236610246824,0.285813333333333,0.04616,0.878819097832455,0.102454223784417,0.880462566659958,0.106232091685354,0.2858,0.04624,34,7.99999999999967e-05
"SPCA","Int-Euclidean",0.894046936145284,0.0798349384885765,0.881747154605968,0.109615762860726,0.313666666666667,0.0617533333333333,0.894047018160516,0.0798351025190393,0.881747309476142,0.109615979752659,0.313666666666667,0.0616333333333333,34,0.000120000000000009
"SPCA","Wasserstein",0.8793670533099,0.101804944346807,0.880508438536207,0.108080143718539,0.289333333333333,0.0504666666666667,0.879367275922671,0.10180510837727,0.88050845519304,0.108080384958618,0.289333333333333,0.0505133333333333,34,4.66666666666671e-05
"V-PCA","Centers-Euclidean",0.87360359695372,0.109140738137083,0.8747686149789,0.114398545712569,0.274666666666667,0.04758,0.873603678968951,0.109140527240773,0.874768504920981,0.114397029587603,0.274666666666667,0.04748,34,0.000100000000000003
"V-PCA","Hausdorff",0.894168178090217,0.0897577973052139,0.896563590372074,0.0929564312188673,0.324,0.0514866666666667,0.894168037492677,0.0897577504393673,0.896562602537396,0.0929556858524223,0.324,0.0515933333333333,34,0.000106666666666665
"V-PCA","Ichino-Yaguchi",0.878645694200351,0.102830837727006,0.880608350462239,0.106016830187648,0.285113333333333,0.0452866666666667,0.878645014645577,0.102831118922086,0.8806072670158,0.106013366978602,0.285106666666667,0.0452866666666667,34,6.66666666665483e-06
"V-PCA","Int-Euclidean",0.89413748096075,0.0796152314001172,0.881828963393806,0.109445820846465,0.315333333333333,0.0626533333333333,0.894137328646749,0.0796151611013474,0.881828612909461,0.109445009282539,0.315333333333333,0.0626866666666667,34,3.33333333333297e-05
"V-PCA","Wasserstein",0.879257516110135,0.101971716461629,0.880601247696636,0.107945437769992,0.289,0.05134,0.879257656707674,0.101971528998243,0.88060099696907,0.107943972828329,0.289,0.0513066666666667,34,3.33333333333297e-05
"C-PCA","Centers-Euclidean",0.910977973052138,0.0739819097832455,0.907209661623714,0.0809712185878597,0.322,0.0580533333333333,0.91097805506737,0.0739818863503222,0.907210540920314,0.0809715064056656,0.322,0.05802,51,3.33333333333366e-05
"C-PCA","Hausdorff",0.932787404803749,0.0495981956649092,0.928842917460553,0.0575220232971535,0.389333333333333,0.0606733333333333,0.932787158758055,0.0495981722319859,0.928842576340879,0.0575230135574345,0.389333333333333,0.06058,51,9.33333333333342e-05
"C-PCA","Ichino-Yaguchi",0.919410181605155,0.0613397305213825,0.916463182701824,0.0669366898772353,0.33982,0.0537866666666667,0.919415442296426,0.0613297246631517,0.916465984166336,0.0669317826358419,0.339846666666667,0.0537933333333333,51,2.66666666666748e-05
"C-PCA","Int-Euclidean",0.935076157000586,0.0333212888107792,0.925093233026955,0.0506224912390428,0.38,0.062,0.935076309314587,0.0333208435852373,0.925093357009065,0.0506231718203831,0.38,0.062,51,6.80581340381514e-07
"C-PCA","Wasserstein",0.919616859988284,0.0598617691857059,0.916124362776321,0.0672902099728225,0.338666666666667,0.0578533333333333,0.919617000585823,0.0598616754540128,0.916124162725445,0.0672916452852794,0.338666666666667,0.05788,51,2.66666666666679e-05
"IMDS","Centers-Euclidean",0.545458441710603,-0.043949431751611,0.544243971247081,-0.0575725471430613,0.0533333333333333,-0.006,0.545499461042765,-0.043865330990041,0.544265599170873,-0.0575295636999541,0.0533333333333333,-0.006,51,8.41007615700121e-05
