"IDR","Metric","Q_TC","B_TC","Q_RE","B_RE","Q_LC","B_LC","rep","kind"
"V-PCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,5,"minP"
"MR-PCA","Int-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,5,"minP"
"MR-PCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,5,"minP"
"MR-PCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,5,"minP"
"MR-PCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,5,"minP"
"MR-PCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,5,"minP"
"SPCA","Int-Euclidean",0.001,0.054,0.001,0.016,0.001,0.001,5,"minP"
"SPCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,5,"minP"
"SPCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,5,"minP"
"SPCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,5,"minP"
"SPCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,5,"minP"
"IMDS","Int-Euclidean",0.001,0.035,0.001,0.007,0.001,0.978,5,"minP"
"IMDS","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.976,5,"minP"
"IMDS","Ichino-Yaguchi",0.001,0.028,0.001,0.001,0.001,0.64,5,"minP"
"IMDS","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.384,5,"minP"
"IMDS","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.071,5,"minP"
"Int-UMAP","Int-Euclidean",0.001,1,0.001,0.83,0.001,0.506,5,"minP"
"Int-UMAP","Hausdorff",0.001,0.542,0.001,0.588,0.001,0.555,5,"minP"
"Int-UMAP","Ichino-Yaguchi",0.001,1,0.001,0.925,0.001,1,5,"minP"
"Int-UMAP","Wasserstein",0.001,0.993,0.001,0.877,0.001,0.891,5,"minP"
"Int-UMAP","Centers-Euclidean",0.001,0.68,0.001,0.383,0.001,0.073,5,"minP"
"C-PCA","Int-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,6,"minP"
"C-PCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,6,"minP"
"C-PCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,6,"minP"
"C-PCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,6,"minP"
"C-PCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,6,"minP"
"V-PCA","Int-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,6,"minP"
"V-PCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,6,"minP"
"V-PCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,6,"minP"
"V-PCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,6,"minP"
"V-PCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,6,"minP"
"MR-PCA","Int-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,6,"minP"
"MR-PCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,6,"minP"
"MR-PCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,6,"minP"
"MR-PCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,6,"minP"
"MR-PCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,6,"minP"
"SPCA","Int-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,6,"minP"
"SPCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,6,"minP"
"SPCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,6,"minP"
"SPCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,6,"minP"
"SPCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,6,"minP"
"IMDS","Int-Euclidean",0.71,0.251,0.303,0.001,0.026,0.042,6,"minP"
"IMDS","Hausdorff",0.001,0.165,0.001,0.034,0.001,0.993,6,"minP"
"IMDS","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,1,6,"minP"
"IMDS","Wasserstein",0.001,0.001,0.001,0.016,0.001,0.957,6,"minP"
"IMDS","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,1,6,"minP"
"Int-UMAP","Int-Euclidean",0.001,0.91,0.001,0.538,0.001,0.048,6,"minP"
"Int-UMAP","Hausdorff",0.001,0.729,0.001,0.843,0.001,0.023,6,"minP"
"Int-UMAP","Ichino-Yaguchi",0.001,0.239,0.001,0.84,0.001,0.007,6,"minP"
"Int-UMAP","Wasserstein",0.001,0.434,0.001,0.842,0.001,0.001,6,"minP"
"Int-UMAP","Centers-Euclidean",0.001,0.997,0.001,0.951,0.001,0.606,6,"minP"
"C-PCA","Int-Euclidean",0.001,0.061,0.001,0.027,0.001,0.001,7,"minP"
"C-PCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,7,"minP"
"C-PCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,7,"minP"
"C-PCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,7,"minP"
"C-PCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,7,"minP"
"V-PCA","Int-Euclidean",0.001,0.053,0.001,0.037,0.001,0.001,7,"minP"
"V-PCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,7,"minP"
"V-PCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,7,"minP"
"V-PCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,7,"minP"
"V-PCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,7,"minP"
"MR-PCA","Int-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,7,"minP"
"MR-PCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,7,"minP"
"MR-PCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,7,"minP"
"MR-PCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,7,"minP"
"MR-PCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,7,"minP"
"SPCA","Int-Euclidean",0.001,0.071,0.001,0.039,0.001,0.001,7,"minP"
"SPCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,7,"minP"
"SPCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,7,"minP"
"SPCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,7,"minP"
"SPCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,7,"minP"
"IMDS","Int-Euclidean",0.17,1,0.022,0.885,0.001,0.849,7,"minP"
"IMDS","Hausdorff",0.001,0.001,0.001,0.016,0.001,0.996,7,"minP"
"IMDS","Ichino-Yaguchi",0.001,0.001,0.001,0.022,0.001,0.988,7,"minP"
"IMDS","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.995,7,"minP"
"IMDS","Centers-Euclidean",0.001,0.001,0.001,0.011,0.001,0.999,7,"minP"
"Int-UMAP","Int-Euclidean",0.001,0.998,0.001,0.67,0.001,0.001,7,"minP"
"Int-UMAP","Hausdorff",0.001,0.266,0.001,0.453,0.001,0.132,7,"minP"
"Int-UMAP","Ichino-Yaguchi",0.001,0.999,0.001,0.999,0.001,1,7,"minP"
"Int-UMAP","Wasserstein",0.001,1,0.001,0.999,0.001,0.961,7,"minP"
"Int-UMAP","Centers-Euclidean",0.001,1,0.001,0.847,0.001,0.577,7,"minP"
"C-PCA","Int-Euclidean",0.001,0.025,0.001,0.006,0.001,0.001,8,"minP"
"C-PCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,8,"minP"
"C-PCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,8,"minP"
"C-PCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,8,"minP"
"C-PCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,8,"minP"
"V-PCA","Int-Euclidean",0.001,0.032,0.001,0.01,0.001,0.001,8,"minP"
"V-PCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,8,"minP"
"V-PCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,8,"minP"
"V-PCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,8,"minP"
"V-PCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,8,"minP"
"MR-PCA","Int-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,8,"minP"
"MR-PCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,8,"minP"
"MR-PCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,8,"minP"
"MR-PCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,8,"minP"
"MR-PCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,8,"minP"
"SPCA","Int-Euclidean",0.001,0.001,0.001,0.015,0.001,0.001,8,"minP"
"SPCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,8,"minP"
"SPCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,8,"minP"
"SPCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,8,"minP"
"SPCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,8,"minP"
"IMDS","Int-Euclidean",0.001,0.142,0.001,0.021,0.001,1,8,"minP"
"IMDS","Hausdorff",0.001,0.001,0.001,0.001,0.001,1,8,"minP"
"IMDS","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.509,8,"minP"
"IMDS","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.999,8,"minP"
"IMDS","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.979,8,"minP"
"Int-UMAP","Int-Euclidean",0.001,0.995,0.001,0.834,0.001,0.01,8,"minP"
"Int-UMAP","Hausdorff",0.001,0.026,0.001,0.089,0.001,0.001,8,"minP"
"Int-UMAP","Ichino-Yaguchi",0.001,0.995,0.001,0.661,0.001,0.001,8,"minP"
"Int-UMAP","Wasserstein",0.001,0.866,0.001,0.341,0.001,0.001,8,"minP"
"Int-UMAP","Centers-Euclidean",0.001,0.906,0.001,0.358,0.001,0.001,8,"minP"
"C-PCA","Int-Euclidean",0.001,0.015,0.001,0.001,0.001,0.001,9,"minP"
"C-PCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,9,"minP"
"C-PCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,9,"minP"
"C-PCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,9,"minP"
"C-PCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,9,"minP"
"V-PCA","Int-Euclidean",0.001,0.032,0.001,0.008,0.001,0.001,9,"minP"
"V-PCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,9,"minP"
"V-PCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,9,"minP"
"V-PCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,9,"minP"
"V-PCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,9,"minP"
"MR-PCA","Int-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,9,"minP"
"MR-PCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,9,"minP"
"MR-PCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,9,"minP"
"MR-PCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,9,"minP"
"MR-PCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,9,"minP"
"SPCA","Int-Euclidean",0.001,0.006,0.001,0.001,0.001,0.001,9,"minP"
"SPCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,9,"minP"
"SPCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,9,"minP"
"SPCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,9,"minP"
"SPCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,9,"minP"
"IMDS","Int-Euclidean",0.044,0.231,0.042,0.026,0.001,0.996,9,"minP"
"IMDS","Hausdorff",0.001,0.001,0.001,0.009,0.001,1,9,"minP"
"IMDS","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.964,9,"minP"
"IMDS","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.996,9,"minP"
"IMDS","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,1,9,"minP"
"Int-UMAP","Int-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,9,"minP"
"Int-UMAP","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,9,"minP"
"Int-UMAP","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,9,"minP"
"Int-UMAP","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,9,"minP"
"Int-UMAP","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,9,"minP"
"C-PCA","Int-Euclidean",0.001,0.018,0.001,0.03,0.001,0.001,10,"minP"
"C-PCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,10,"minP"
"C-PCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,10,"minP"
"C-PCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,10,"minP"
"C-PCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,10,"minP"
"V-PCA","Int-Euclidean",0.001,0.007,0.001,0.007,0.001,0.001,10,"minP"
"V-PCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,10,"minP"
"V-PCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,10,"minP"
"V-PCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,10,"minP"
"V-PCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,10,"minP"
"MR-PCA","Int-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,10,"minP"
"MR-PCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,10,"minP"
