"scenario","rep","Method","Metric","cell_index","Q_TC_u50","B_TC_u50","Q_RE_u50","B_RE_u50","Q_LC_u50","B_LC_u50","Q_TC_u500","B_TC_u500","Q_RE_u500","B_RE_u500","Q_LC_u500","B_LC_u500","Q_TC_pri","B_TC_pri","Q_RE_pri","B_RE_pri","Q_LC_pri","B_LC_pri","d50_500","d50_pri","equivariant"
"S2",1,"IMDS","Hausdorff",28,0.626473985022307,-0.0328499904397706,0.63941834250546,-0.049553067608633,0.053,-0.005,NA,NA,NA,NA,NA,NA,0.626473948374761,-0.032850063734863,0.639418317786011,-0.0495531170475322,0.053,-0.005,NA,7.32950924328679e-08,TRUE
"S2",1,"IMDS","Ichino-Yaguchi",29,0.637609623964309,-0.0304987253027406,0.646807857223769,-0.0434188472326073,0.054875,-0.005125,NA,NA,NA,NA,NA,NA,0.637609623964309,-0.0304987253027406,0.646807857223769,-0.0434188472326073,0.054875,-0.005125,NA,0,TRUE
"S2",1,"IMDS","Int-Euclidean",30,0.595993865519439,-0.0869361057998725,0.604570206776746,-0.101437569059642,0.04175,-0.005,NA,NA,NA,NA,NA,NA,0.595993865519439,-0.0869361057998725,0.604570206776746,-0.101437569059642,0.04175,-0.005,NA,0,TRUE
"S2",1,"IMDS","Wasserstein",31,0.628220841300191,-0.0545796685787125,0.637857406413682,-0.0703971713119272,0.054375,-0.0035,NA,NA,NA,NA,NA,NA,0.628220841300191,-0.0545796685787125,0.637857406413682,-0.0703971713119272,0.054375,-0.0035,NA,0,TRUE
"S2",10,"IMDS","Centers-Euclidean",72,0.602956899298916,-0.0808150095602294,0.617268773773705,-0.0892180307486752,0.054,-0.00925,NA,NA,NA,NA,NA,NA,0.602956899298916,-0.0808150095602294,0.617268773773705,-0.0892180307486752,0.054,-0.00925,NA,0,TRUE
"S2",10,"IMDS","Hausdorff",73,0.60473143722116,-0.018583970681963,0.620894672092833,-0.0330123764859179,0.045625,-0.000625000000000001,NA,NA,NA,NA,NA,NA,0.60473143722116,-0.018583970681963,0.620894672092833,-0.0330123764859179,0.045625,-0.000625000000000001,NA,0,TRUE
"S2",10,"IMDS","Ichino-Yaguchi",74,0.61158604206501,-0.0185347355003187,0.627181514244561,-0.0302104821043298,0.0445,-0.003,NA,NA,NA,NA,NA,NA,0.61158604206501,-0.0185347355003187,0.627181514244561,-0.0302104821043298,0.0445,-0.003,NA,0,TRUE
"S2",10,"IMDS","Int-Euclidean",75,0.562822850541746,-0.0483472880815807,0.564128501069044,-0.0432657760926245,0.03925,-0.001625,NA,NA,NA,NA,NA,NA,0.562822896749522,-0.0483471956660294,0.564128540029046,-0.0432656981726203,0.03925,-0.001625,NA,9.24155512671554e-08,TRUE
"S2",10,"IMDS","Wasserstein",76,0.605063256851498,-0.0444037603569152,0.620148595623071,-0.0553950932319034,0.049625,-0.001125,NA,NA,NA,NA,NA,NA,0.605063256851498,-0.0444037603569152,0.620148595623071,-0.0553950932319034,0.049625,-0.001125,NA,0,TRUE
"S2",2,"IMDS","Centers-Euclidean",32,0.598139294136393,-0.0532233237731038,0.600266890962832,-0.0621551819745569,0.049,-0.006125,NA,NA,NA,NA,NA,NA,0.598139340344168,-0.0532232313575525,0.60026691322569,-0.0621551374488402,0.049,-0.006125,NA,9.24155513296054e-08,TRUE
