"Method","Metric","Q_TC","B_TC","Q_RE","B_RE","Q_LC","B_LC","tie_affected","tie_spread","level","rep"
"Int-UMAP","Ichino-Yaguchi",0.876140597539543,0.0323772700644406,0.881276829208196,0.034536369697581,0.293,0,FALSE,0,"L3",4
"Int-UMAP","Wasserstein",0.860847685998828,0.00847685998828351,0.868230145399574,0.0134753339925448,0.272333333333333,0.014,FALSE,0,"L3",4
"Int-UMAP","Centers-Euclidean",0.610314001171646,-0.118924428822496,0.610630782013014,-0.126923287834847,0.122333333333333,-0.009,FALSE,0,"L3",4
"C-PCA","CR-Euclidean",0.9321640304628,0.0537363796133568,0.925477281230143,0.0603948544660963,0.330666666666667,0.0463333333333333,FALSE,0,"L3",4
"V-PCA","CR-Euclidean",0.931994727592267,0.0542460456942003,0.925533080088052,0.0603839653488732,0.331,0.0483333333333333,FALSE,0,"L3",4
"MR-PCA","CR-Euclidean",0.717811950790861,0.218970123022847,0.731995200068531,0.237514333704389,0.126,0.022,FALSE,0,"L3",4
"SPCA","CR-Euclidean",0.9321640304628,0.0537363796133568,0.925477281230143,0.0603948544660963,0.330666666666667,0.0463333333333333,FALSE,0,"L3",4
"IMDS","CR-Euclidean",0.573335676625659,-0.0746994727592267,0.578679677265786,-0.105077182547998,0.054,-0.003,FALSE,0,"L3",4
"Int-UMAP","CR-Euclidean",0.893454598711189,0.0142671353251318,0.894143568550854,0.0173070443976006,0.298,-0.003,FALSE,0,"L3",4
"C-PCA","Int-Euclidean",0.931771528998243,0.0500714704159344,0.924198108551281,0.0611887759652789,0.345333333333333,0.047,FALSE,0,"L3",5
"C-PCA","Hausdorff",0.947342706502636,0.0320515524311658,0.937683293103626,0.0416191992960223,0.346666666666667,0.0526666666666667,FALSE,0,"L3",5
"C-PCA","Ichino-Yaguchi",0.92694258933802,0.0594973637961336,0.919755783183598,0.0709744708308137,0.342,0.0556666666666667,FALSE,0,"L3",5
"C-PCA","Wasserstein",0.92090978324546,0.058721734036321,0.915037172372745,0.0715076276784688,0.322666666666667,0.0583333333333333,FALSE,0,"L3",5
"C-PCA","Centers-Euclidean",0.83509021675454,0.138185120093732,0.830690545504397,0.161144210875208,0.202333333333333,0.044,FALSE,0,"L3",5
"V-PCA","Int-Euclidean",0.931664323374341,0.0502694786174575,0.925267998476475,0.0588924495109876,0.344666666666667,0.0443333333333333,FALSE,0,"L3",5
"V-PCA","Hausdorff",0.947551259519625,0.0317422378441711,0.938058373528499,0.0409116615184001,0.349,0.0556666666666667,FALSE,0,"L3",5
"V-PCA","Ichino-Yaguchi",0.92679086115993,0.0599390743995314,0.919279800725931,0.0720726873521514,0.343333333333333,0.0593333333333333,FALSE,0,"L3",5
"V-PCA","Wasserstein",0.920915055653193,0.0589009958992384,0.914587223701891,0.0725832523135728,0.325333333333333,0.0606666666666666,FALSE,0,"L3",5
"V-PCA","Centers-Euclidean",0.836501464557704,0.135214997070884,0.830807563215755,0.161024295488854,0.205,0.046,FALSE,0,"L3",5
"MR-PCA","Int-Euclidean",0.735769771528998,0.222222612770943,0.739978109696534,0.254095854014289,0.133333333333333,0.023,FALSE,0,"L3",5
"MR-PCA","Hausdorff",0.743270064440539,0.20679086115993,0.761164497670576,0.208685930870609,0.134,0.0253333333333333,FALSE,0,"L3",5
"MR-PCA","Ichino-Yaguchi",0.707890451083773,0.271021675454013,0.715461600778527,0.292258198424494,0.124,0.02,FALSE,0,"L3",5
"MR-PCA","Wasserstein",0.738565319273579,0.236980667838313,0.739830542430943,0.259205584168977,0.136,0.0236666666666667,FALSE,0,"L3",5
"MR-PCA","Centers-Euclidean",0.83509021675454,0.138185120093732,0.830690545504397,0.161144210875208,0.202333333333333,0.044,FALSE,0,"L3",5
"SPCA","Int-Euclidean",0.931771528998243,0.0500714704159344,0.924198108551281,0.0611887759652789,0.345333333333333,0.047,FALSE,0,"L3",5
"SPCA","Hausdorff",0.947342706502636,0.0320515524311658,0.937683293103626,0.0416191992960223,0.346666666666667,0.0526666666666667,FALSE,0,"L3",5
"SPCA","Ichino-Yaguchi",0.92694258933802,0.0594973637961336,0.919755783183598,0.0709744708308137,0.342,0.0556666666666667,FALSE,0,"L3",5
"SPCA","Wasserstein",0.92090978324546,0.058721734036321,0.915037172372745,0.0715076276784688,0.322666666666667,0.0583333333333333,FALSE,0,"L3",5
"SPCA","Centers-Euclidean",0.83509021675454,0.138185120093732,0.830690545504397,0.161144210875208,0.202333333333333,0.044,FALSE,0,"L3",5
"IMDS","Int-Euclidean",0.526528412419449,-0.0307721148213239,0.510027553626945,-0.0213112167425589,0.0286666666666667,-0.003,FALSE,0,"L3",5
"IMDS","Hausdorff",0.582123608670182,-0.11202460456942,0.585742583909376,-0.134250794807305,0.0476666666666667,-0.00233333333333334,TRUE,0,"L3",5
"IMDS","Ichino-Yaguchi",0.573490333919156,-0.0925530169888694,0.575427174096766,-0.106973827892382,0.0496666666666667,0.002,FALSE,0,"L3",5
"IMDS","Wasserstein",0.567780316344464,-0.103169302870533,0.569921297611871,-0.11434836086777,0.045,0.007,FALSE,0,"L3",5
"IMDS","Centers-Euclidean",0.502896895137668,-0.00798476859988284,0.491029685548147,-0.00460226321082646,0.0296666666666667,-0.000666666666666666,FALSE,0,"L3",5
"Int-UMAP","Int-Euclidean",0.773486233157586,-0.0897211482132396,0.778772066658653,-0.0764883080540934,0.162333333333333,0.012,FALSE,0,"L3",5
"Int-UMAP","Hausdorff",0.887476859988284,-0.0128986526069127,0.886496828369981,-0.00266161158627864,0.244666666666667,0.022,FALSE,0,"L3",5
"Int-UMAP","Ichino-Yaguchi",0.854217926186292,0.021518453427065,0.858614605847884,0.0336507956977164,0.251,0.0236666666666667,FALSE,0,"L3",5
"Int-UMAP","Wasserstein",0.838436438195665,0.0105623901581723,0.846288184256206,0.0238210945520179,0.239,0.0156666666666667,FALSE,0,"L3",5
"Int-UMAP","Centers-Euclidean",0.587115407147042,-0.0785448154657293,0.593281681796752,-0.0792284063340182,0.101333333333333,0.000666666666666663,FALSE,0,"L3",5
"C-PCA","CR-Euclidean",0.939748681898067,0.0467311072056239,0.930394826065043,0.0566194779333797,0.348,0.0533333333333333,FALSE,0,"L3",5
"V-PCA","CR-Euclidean",0.939475688342121,0.0473333333333333,0.93014795950716,0.0571548485279734,0.348666666666667,0.053,FALSE,0,"L3",5
"MR-PCA","CR-Euclidean",0.723023432923257,0.233981253661394,0.736268398701043,0.246032501857966,0.118666666666667,0.0196666666666667,FALSE,0,"L3",5
"SPCA","CR-Euclidean",0.939748681898067,0.0467311072056239,0.930394826065043,0.0566194779333797,0.348,0.0533333333333333,FALSE,0,"L3",5
