"Method","Metric","Q_TC.mean","Q_TC.sd","Q_TC.mcse","Q_TC.q025","Q_TC.q975","B_TC.mean","B_TC.sd","B_TC.mcse","B_TC.q025","B_TC.q975","Q_RE.mean","Q_RE.sd","Q_RE.mcse","Q_RE.q025","Q_RE.q975","B_RE.mean","B_RE.sd","B_RE.mcse","B_RE.q025","B_RE.q975","Q_LC.mean","Q_LC.sd","Q_LC.mcse","Q_LC.q025","Q_LC.q975","B_LC.mean","B_LC.sd","B_LC.mcse","B_LC.q025","B_LC.q975"
"Int-UMAP","Int-Euclidean",0.78699168857645,0.0351902238644766,0.00351902238644766,0.72146097334505,0.854278732278852,0.0355721663737551,0.0369334985596438,0.00369334985596438,-0.0178417750439368,0.10582612360867,0.799163520187085,0.0326111710418914,0.00326111710418914,0.737868290691071,0.856360819381124,0.0523365619318734,0.0383852803148896,0.00383852803148896,-0.00786848950611797,0.127589906701006,0.282762333333333,0.0307006898861202,0.00307006898861203,0.223983333333333,0.336175,0.0193850666666667,0.0109738919274756,0.00109738919274756,-0.0028265,0.0406083333333333
"MR-PCA","Int-Euclidean",0.90038699543058,0.0161813825919376,0.00161813825919376,0.865201200937317,0.925458702401875,0.0811114722905682,0.0165970608945927,0.00165970608945927,0.0571801259519625,0.119986103104862,0.894583930071388,0.0150864554818931,0.00150864554818931,0.860168443354023,0.918037718639749,0.0941548187888471,0.0174690629783646,0.00174690629783646,0.0688759616665615,0.136275003418105,0.299260133333333,0.0255872018896793,0.00255872018896793,0.256108333333333,0.350644833333333,0.0593712,0.0103962157873955,0.00103962157873955,0.0362106666666667,0.0790311666666667
"SPCA","Int-Euclidean",0.924052975161101,0.0134841261396118,0.00134841261396118,0.891262037199766,0.946082113356766,0.0439036248388987,0.0130011837183586,0.00130011837183586,0.0234454628002344,0.0747963719976567,0.915068759768235,0.0139295134023877,0.00139295134023877,0.881432152921478,0.937377470663631,0.0599352905039314,0.0164589282332506,0.00164589282332506,0.0326681983277767,0.101059712077801,0.351992866666667,0.0289752621492031,0.00289752621492031,0.303741666666667,0.406408333333333,0.0532428666666667,0.00972725958988802,0.000972725958988802,0.0324116666666667,0.069655
"V-PCA","Int-Euclidean",0.924000762858817,0.0135344787877779,0.00135344787877779,0.89130914264792,0.946274366432337,0.0439423346221441,0.013071664358395,0.0013071664358395,0.0237093901581722,0.0749262126537785,0.915032535970855,0.0139512528353333,0.00139512528353333,0.881360876562806,0.937460923651368,0.0599638943886121,0.0164824667461541,0.00164824667461541,0.03256308914108,0.101370168399054,0.351871933333333,0.0289654760449322,0.00289654760449322,0.305233333333333,0.407108333333333,0.0532701333333333,0.00953842285937355,0.000953842285937355,0.0325428333333333,0.0693768333333333
"C-PCA","Wasserstein",0.907270930990041,0.0154806981964183,0.00154806981964183,0.875403063854716,0.934177374048037,0.07228,0.01497848460748,0.001497848460748,0.0462209062683069,0.107295646162859,0.904357583957734,0.0143426671276527,0.00143426671276527,0.8766545361375,0.930101185644557,0.081316025811491,0.0158314949371222,0.00158314949371222,0.0532515913010185,0.114415482966814,0.3191976,0.0274180460209136,0.00274180460209136,0.271958333333333,0.3799,0.057664,0.0106978869705246,0.00106978869705246,0.0346685,0.0771401666666666
"IMDS","Wasserstein",0.548998598125366,0.0122512143696443,0.00122512143696443,0.526637381956649,0.573650094610428,-0.043077535559461,0.0178823243940613,0.00178823243940613,-0.0887637978910369,-0.0147731329818395,0.548604749933181,0.0130267574139697,0.00130267574139697,0.524437799115284,0.573772885924254,-0.053190920187361,0.0189212899469967,0.00189212899469967,-0.100166006920185,-0.0238150195936562,0.0556384,0.00691662069645183,0.000691662069645184,0.0446666666666667,0.0680166666666667,-0.000647666666666667,0.00398871656305966,0.000398871656305966,-0.009175,0.00574016666666667
"Int-UMAP","Wasserstein",0.80564307334505,0.0296249716877711,0.00296249716877711,0.749397993263035,0.864930114821324,0.0239086038664323,0.0267811758684429,0.00267811758684429,-0.0159300240187463,0.0818502214411247,0.831804574886592,0.0243173255192375,0.00243173255192375,0.785217022998175,0.879889469426113,0.0265763530975493,0.0244692241791292,0.00244692241791292,-0.00911330430054885,0.082705254453477,0.308252866666667,0.0255410622803024,0.00255410622803024,0.258633333333333,0.357116666666667,0.00139646666666667,0.0130045878619445,0.00130045878619445,-0.022341,0.024028
"MR-PCA","Wasserstein",0.902404435383714,0.0165472505880632,0.00165472505880632,0.869122421792619,0.93255133831283,0.0786944562390158,0.0164666908140329,0.00164666908140329,0.048283633274751,0.114052963678969,0.898805581351132,0.0151046826486079,0.00151046826486079,0.868122849072736,0.927700679106021,0.088547102186835,0.0166733224457807,0.00166733224457807,0.0560336301734629,0.12478918155304,0.3072528,0.0279272641394838,0.00279272641394838,0.263975,0.369225,0.0592176,0.0105496608961411,0.00105496608961411,0.0366315,0.077683
"SPCA","Wasserstein",0.907270922202695,0.0154807132538362,0.00154807132538362,0.875403049794962,0.934177265963679,0.0722800620972466,0.0149784659089122,0.00149784659089122,0.0462209373169302,0.107295291154071,0.904357559386985,0.0143426237110857,0.00143426237110857,0.876654311897754,0.930101341326848,0.0813160869532778,0.0158315361653618,0.00158315361653618,0.053251912249804,0.114416743622774,0.3191982,0.027416389780596,0.0027416389780596,0.271958333333333,0.3799,0.0576659333333333,0.010705806595265,0.0010705806595265,0.0347281666666667,0.0772066666666666
"V-PCA","Wasserstein",0.907245960749854,0.0154457757381599,0.00154457757381599,0.875495326303456,0.934226630931459,0.0722516777973052,0.0148752919157649,0.00148752919157649,0.0461652220269479,0.10676730990041,0.904300734835488,0.0143968474401165,0.00143968474401165,0.876669061494881,0.930174593338756,0.0813651027213889,0.0159094196032985,0.00159094196032985,0.0531283566068448,0.114449228328807,0.3191562,0.0273428006476069,0.00273428006476069,0.272265666666667,0.379725,0.0577028666666667,0.0106387162105352,0.00106387162105352,0.0349713333333333,0.0770333333333333
