"IDR","Metric","col","value","star","qc","changed"
"Int-UMAP","Wasserstein","Q_RE",0.869803827313098,TRUE,0.732086355438521,TRUE
"Int-UMAP","Wasserstein","B_RE",-0.0104953532023989,FALSE,NA,TRUE
"Int-UMAP","Wasserstein","Q_LC",0.555555555555556,TRUE,0.44973544973545,FALSE
"Int-UMAP","Wasserstein","B_LC",-0.0222222222222222,FALSE,NA,TRUE
"Int-UMAP","Centers-Euclidean","Q_TC",0.775243664717349,TRUE,0.519352252685586,TRUE
"Int-UMAP","Centers-Euclidean","B_TC",-0.0276803118908382,FALSE,NA,TRUE
"Int-UMAP","Centers-Euclidean","Q_RE",0.860069587510873,TRUE,0.712055538797535,TRUE
"Int-UMAP","Centers-Euclidean","B_RE",-0.00132765645744631,FALSE,NA,TRUE
"Int-UMAP","Centers-Euclidean","Q_LC",0.555555555555556,TRUE,0.44973544973545,FALSE
"Int-UMAP","Centers-Euclidean","B_LC",-0.0296296296296296,FALSE,NA,TRUE
