"Method","Metric","K","Q_TC","B_TC","Q_RE","B_RE","Q_LC","B_LC","Q_TC_spread","B_TC_spread","Q_RE_spread","B_RE_spread","Q_LC_spread","B_LC_spread","rep"
"MR-PCA","Int-Euclidean",10,0.895080679554774,0.0820370708845929,0.890887641872854,0.0935576131018202,0.272,0.0631533333333333,3.5149384886024e-06,5.85823081433734e-06,6.6051638026865e-06,1.45121704652751e-05,0,0.001,18
"MR-PCA","Int-Euclidean",20,0.896349115646259,0.0687005813234385,0.885816780771791,0.0867084701397097,0.376333333333333,0.08241,1.54607297464526e-06,3.71057513914863e-06,5.36971136677611e-06,1.17677807931066e-05,0,5e-04,18
"MR-PCA","Int-Euclidean",40,0.905434867780097,0.0540719485038274,0.879727365215291,0.0805882123926953,0.520833333333333,0.10229,1.04384133603475e-06,1.73973556016893e-06,4.83676558538093e-06,1.01864399678214e-05,0,0.000333333333333324,18
"MR-PCA","Int-Euclidean",5,0.898554155251141,0.092071506849315,0.895199991797295,0.0998262929514154,0.207333333333333,0.0353066666666667,5.70776255715e-06,1.1415525114189e-05,8.57182698854597e-06,1.93583843951795e-05,0,0.00133333333333333,18
"MR-PCA","Wasserstein",10,0.896345905096661,0.0794849209138841,0.892788278547702,0.089997233921665,0.274666666666667,0.058,4.10076156998063e-06,8.20152314007228e-06,7.57540517937194e-06,1.30875122412166e-05,0,0.00066666666666669,18
"MR-PCA","Wasserstein",20,0.896682987012987,0.0669361904761905,0.887257534843522,0.083605394317999,0.379833333333333,0.0750966666666667,2.16450216461439e-06,3.71057513914863e-06,6.53332898847836e-06,1.15683138998679e-05,0,0.000500000000000028,18
"MR-PCA","Wasserstein",40,0.905653347251218,0.0529313152400835,0.881002260195374,0.0777977790554,0.521878333333333,0.096715,8.69867780028954e-07,1.04384133603475e-06,6.02853597575503e-06,9.593373834757e-06,8.33333333333242e-05,0.000250000000000028,18
"MR-PCA","Wasserstein",5,0.900252694063927,0.0879635616438356,0.897568157918482,0.0953612832312097,0.207333333333333,0.0346666666666667,5.70776255703898e-06,1.59817351598202e-05,8.16169172590531e-06,1.86201409225206e-05,0,0.00133333333333334,18
"SPCA","Centers-Euclidean",10,0.896006643233743,0.080129841827768,0.891860541879809,0.0918695759477163,0.275666666666667,0.05752,2.92911540722418e-06,7.02987697720481e-06,7.24303610022403e-06,1.60350809806087e-05,0,0.00100000000000001,18
"SPCA","Centers-Euclidean",20,0.896513457019171,0.0671677674706247,0.886480321604532,0.0851345666038431,0.378666666666667,0.0775033333333333,1.85528756957432e-06,4.94743351886484e-06,5.8761773793492e-06,1.23065119968235e-05,0,0.000666666666666649,18
"SPCA","Centers-Euclidean",40,0.905679345859429,0.0529270842032011,0.880347449318301,0.079064189570703,0.521666666666667,0.097585,1.04384133614577e-06,1.73973556016893e-06,5.35197997808545e-06,1.08846483264646e-05,0,0.000333333333333352,18
"SPCA","Centers-Euclidean",5,0.899222602739726,0.0904975342465753,0.896317079672876,0.098208717835142,0.204666666666667,0.0327066666666667,5.70776255715e-06,1.1415525114189e-05,9.18702988250697e-06,1.78818974497646e-05,0,0.00133333333333335,18
"SPCA","Hausdorff",10,0.915053591095489,0.0596131693028705,0.91346871410625,0.0683310891281844,0.331333333333333,0.0629666666666667,3.51493848871343e-06,7.02987697720481e-06,6.82009068997402e-06,1.20727502950224e-05,0,0.00066666666666669,18
"SPCA","Hausdorff",20,0.912658293135436,0.0532053679653679,0.90681895117473,0.0644728991836418,0.420166666666667,0.0744833333333333,1.85528756957432e-06,4.32900432900674e-06,6.50140502655994e-06,1.04100210471664e-05,0,0.000333333333333352,18
"SPCA","Hausdorff",40,0.918010567153793,0.0398406889352818,0.8993801279197,0.059659559878676,0.54825,0.09439,1.21781489215156e-06,3.1315240084373e-06,5.58278372164711e-06,8.5999147542426e-06,0,0.000416666666666676,18
"SPCA","Hausdorff",5,0.921423424657534,0.0643102283105023,0.919626607115027,0.0714320430477972,0.273333333333333,0.0462933333333333,9.13242009137338e-06,1.82648401827468e-05,7.99763762093786e-06,1.76358162922025e-05,0,0.000666666666666677,18
"SPCA","Ichino-Yaguchi",10,0.902814680726421,0.0703833391915642,0.900921979406013,0.0783826173581402,0.2869,0.0575866666666667,3.63210310486695e-05,6.91271236086255e-05,2.99838359628657e-05,5.26847208322245e-05,0.000333333333333297,0.000999999999999973,18
"SPCA","Ichino-Yaguchi",20,0.902165213358071,0.058561521335807,0.894751321051326,0.07279736995087,0.38716,0.0734566666666667,5.62770562769765e-05,0.000108843537414915,3.05173274242065e-05,5.23626154830953e-05,0.000333333333333297,0.000833333333333353,18
"SPCA","Ichino-Yaguchi",40,0.909070135699374,0.0482546903270703,0.887779906177967,0.0682672776914847,0.52735,0.091545,7.30688935282053e-05,0.000144050104384119,3.01377677890402e-05,4.86233222872223e-05,0.000333333333333297,0.000500000000000028,18
"SPCA","Ichino-Yaguchi",5,0.908230182648402,0.0783193607305936,0.906582103337681,0.0828566380392253,0.228666666666667,0.03404,2.05479452054513e-05,4.56621004565338e-05,2.998088769679e-05,5.06927184585199e-05,0,0.00133333333333334,18
"SPCA","Int-Euclidean",10,0.918892314001172,0.0424334856473345,0.909566257522633,0.0593250395503852,0.315,0.0492066666666667,3.51493848849138e-06,7.02987697720481e-06,1.00785358198019e-05,1.06035715014899e-05,0,0.000333333333333338,18
"SPCA","Int-Euclidean",20,0.918669375386518,0.0345783302411874,0.905017212914699,0.0535750315078347,0.423833333333333,0.0599366666666667,1.23685837971621e-06,3.09214594929053e-06,8.85826654395405e-06,9.01138679502977e-06,0,0.000166666666666676,18
"SPCA","Int-Euclidean",40,0.920503890048713,0.0317553235908142,0.897781390290741,0.0503639080913558,0.552583333333333,0.067045,1.04384133603475e-06,2.08768267218051e-06,7.63125944935883e-06,7.77812294967817e-06,0,0.000250000000000028,18
"SPCA","Int-Euclidean",5,0.917499908675799,0.0564678538812785,0.911331524636825,0.0677922828948987,0.242,0.03708,4.56621004563118e-06,9.13242009126236e-06,1.35754771922736e-05,1.28782472459538e-05,0,0.000666666666666677,18
"SPCA","Wasserstein",10,0.902503140011716,0.0709221558289397,0.899120050268329,0.0818115424028488,0.287666666666667,0.0563533333333333,3.51493848849138e-06,7.02987697720481e-06,5.8176102801788e-06,1.75963712972516e-05,0,0.000666666666666663,18
"SPCA","Wasserstein",20,0.900988744588745,0.061116462585034,0.892893607580244,0.0764525610894311,0.386166666666667,0.07401,1.85528756957432e-06,4.32900432900674e-06,4.91744594144361e-06,1.36378056447978e-05,0,0.000333333333333352,18
"SPCA","Wasserstein",40,0.908206426583159,0.0497489561586639,0.886059959542554,0.0715448623999566,0.526166666666667,0.0949216666666667,6.95894224134186e-07,1.73973556016893e-06,4.15703183009875e-06,1.17708264065902e-05,0,0.00033333333333338,18
"SPCA","Wasserstein",5,0.906015114155251,0.0812571689497717,0.904043074866091,0.0873764779224188,0.22,0.0293733333333333,6.84931506844677e-06,1.14155251143e-05,8.89993519859189e-06,2.07528442880411e-05,0,0.00133333333333333,18
"V-PCA","Centers-Euclidean",10,0.895781206795548,0.0805221323960164,0.891724601452629,0.0921545479987774,0.276333333333333,0.0588333333333333,4.10076156998063e-06,7.02987697720481e-06,1.02097947402013e-05,1.4375538372649e-05,0,0.00100000000000001,18
"V-PCA","Centers-Euclidean",20,0.896559598021027,0.0669999628942486,0.886449429296521,0.0851969522888535,0.3785,0.0785733333333333,2.16450216450337e-06,3.09214594929053e-06,7.84654699625964e-06,1.13313893657929e-05,0,0.000666666666666677,18
"V-PCA","Centers-Euclidean",40,0.905637974947808,0.0529763674321503,0.880303129950677,0.0791463506208995,0.521166666666667,0.0972033333333333,6.95894224023164e-07,1.73973556005791e-06,6.719732900895e-06,1.00477999398496e-05,0,0.00033333333333338,18
"V-PCA","Centers-Euclidean",5,0.899907579908676,0.0891505022831051,0.896473948208119,0.0979391900648834,0.206,0.0360133333333333,6.84931506855779e-06,9.13242009126236e-06,1.14837873530504e-05,1.80459515548292e-05,0,0.00133333333333333,18
"V-PCA","Hausdorff",10,0.914759449326303,0.0600746807264206,0.913290813763856,0.0686406540655033,0.329333333333333,0.06134,4.10076156998063e-06,7.02987697720481e-06,7.56926441114469e-06,9.65942838965228e-06,0,0.000666666666666677,18
"V-PCA","Hausdorff",20,0.91263035868893,0.0532093135435992,0.906710160132096,0.0646474361331117,0.418903333333333,0.07367,1.54607297453424e-06,3.09214594929053e-06,6.17115283074732e-06,7.66781149962037e-06,0.000166666666666648,0.000333333333333352,18
"V-PCA","Hausdorff",40,0.918096558803062,0.0396319206680585,0.899301863980083,0.0597745655481185,0.548416666666667,0.0952916666666667,1.39178844826837e-06,3.13152400832628e-06,4.94989818744518e-06,6.89412101190223e-06,0,0.000416666666666704,18
