"Method","lambda","Q_TC","B_TC","Q_RE","B_RE","Q_LC","B_LC","tie_affected","tie_spread","n_res"
"SPCA",0.65,0.998015897937948,0.000895998423752098,0.997458460204748,0.000669145137053892,0.818914728682171,0.0365891472868217,FALSE,0,0
"IMDS",0.65,0.493182112049061,-0.0119307189783944,0.504759776740027,-0.00813121544397194,0.0148837209302326,0.000310077519379845,TRUE,0,50
"Int-UMAP",0.65,0.701725375744254,0.239055728983874,0.69240760199122,0.244778723984309,0.0722480620155039,0.0238759689922481,FALSE,0,0
"C-PCA",0.7,0.998022917166941,0.000897722444908267,0.997460234479608,0.000669132649103409,0.81906976744186,0.0362790697674419,FALSE,0,0
"V-PCA",0.7,0.997982648958506,0.00116199025928043,0.997457617103776,0.000754832523816732,0.80093023255814,0.0635658914728682,FALSE,0,0
"MR-PCA",0.7,0.922924309314024,-0.0177552013102561,0.913976043582448,-0.02711103618779,0.185581395348837,-0.0325581395348837,FALSE,0,0
"SPCA",0.7,0.998022917166941,0.000897722444908267,0.997460234479608,0.000669132649103409,0.81906976744186,0.0362790697674419,FALSE,0,0
"IMDS",0.7,0.49290540665349,-0.0109408845459975,0.504732728003595,-0.00700596927648039,0.0150387596899225,-0.000155038759689923,TRUE,0,50
"Int-UMAP",0.7,0.705553934154706,0.231478902291101,0.697616913893087,0.234316310196313,0.0725581395348837,0.0235658914728682,FALSE,0,0
"C-PCA",0.75,0.99802587263178,0.000885408008078237,0.997459353914784,0.000667102042628756,0.818759689922481,0.0364341085271318,FALSE,0,0
"V-PCA",0.75,0.997987082155765,0.00116199025928043,0.997459121080233,0.00075619929713411,0.801395348837209,0.0637209302325581,FALSE,0,0
"MR-PCA",0.75,0.92383089815345,-0.017823669579031,0.91487506116097,-0.0270094720151389,0.186821705426357,-0.032093023255814,FALSE,0,0
"SPCA",0.75,0.99802587263178,0.000885408008078237,0.997459353914784,0.000667102042628756,0.818759689922481,0.0364341085271318,FALSE,0,0
"IMDS",0.75,0.493406481088104,-0.0111874195713345,0.505143199870433,-0.00664931768286853,0.0147286821705426,-0.000465116279069767,TRUE,0,50
"Int-UMAP",0.75,0.709060223753317,0.224361896669561,0.702332520752254,0.224822859161811,0.0727131782945736,0.0235658914728682,FALSE,0,0
"C-PCA",0.8,0.998019099691523,0.00086792150777959,0.997453989847106,0.000659204071208568,0.818449612403101,0.0356589147286822,FALSE,0,0
"V-PCA",0.8,0.997989175610026,0.00115337015349937,0.997458472692699,0.000755885126590371,0.801395348837209,0.064031007751938,FALSE,0,0
"MR-PCA",0.8,0.924595501536226,-0.0176342735405853,0.915807200727737,-0.0271024326471674,0.187286821705426,-0.0344186046511628,FALSE,0,0
"SPCA",0.8,0.998019099691523,0.00086792150777959,0.997453989847106,0.000659204071208568,0.818449612403101,0.0356589147286822,FALSE,0,0
"IMDS",0.8,0.493487633226813,-0.00984391451317945,0.504994305050929,-0.0047265827817512,0.0148837209302326,-0.000775193798449612,TRUE,0,50
"Int-UMAP",0.8,0.712160506369642,0.217752492134154,0.706697131580542,0.215916403911151,0.0727131782945736,0.0235658914728682,FALSE,0,0
"C-PCA",0.85,0.998009740719533,0.000841322324226845,0.997451640469263,0.00065199260843469,0.818139534883721,0.0355038759689923,FALSE,0,0
"V-PCA",0.85,0.997987082155765,0.00114573520266481,0.997461707400504,0.00075688350536849,0.801395348837209,0.0646511627906977,FALSE,0,0
"MR-PCA",0.85,0.92562831335316,-0.0179679947786787,0.916635375806319,-0.0270739854245966,0.190387596899225,-0.0344186046511628,FALSE,0,0
"SPCA",0.85,0.998009740719533,0.000841322324226845,0.997451640469263,0.00065199260843469,0.818139534883721,0.0355038759689923,FALSE,0,0
"IMDS",0.85,0.492913780470535,-0.00905135735879958,0.504862087067719,-0.00476194044176326,0.0142635658914729,-0.000930232558139535,TRUE,0,50
"Int-UMAP",0.85,0.715103287338912,0.211720634686074,0.71075431946623,0.207579969376062,0.0727131782945736,0.0235658914728682,FALSE,0,0
