"Method","Metric","index","old_mean_fmt","new_mean_fmt","old_sd_fmt","new_sd_fmt","mean_delta","replication_fidelity","display_changed"
"SPCA","Wasserstein","B_RE","0.081","0.081","16","16",8.8562159133998e-09,4.44089209850063e-16,FALSE
"SPCA","Wasserstein","Q_LC","0.319","0.319","27","27",0,4.44089209850063e-16,FALSE
"SPCA","Wasserstein","B_LC","0.058","0.058","11","11",1.06666666666727e-06,4.44089209850063e-16,FALSE
"V-PCA","Centers-Euclidean","Q_TC","0.902","0.902","17","17",9.37316890770035e-10,4.44089209850063e-16,FALSE
"V-PCA","Centers-Euclidean","B_TC","0.080","0.080","17","17",-7.0298769722088e-09,4.44089209850063e-16,FALSE
"V-PCA","Centers-Euclidean","Q_RE","0.897","0.897","16","16",-8.88691975564626e-09,4.44089209850063e-16,FALSE
"V-PCA","Centers-Euclidean","B_RE","0.092","0.092","17","17",-1.66777123777884e-08,4.44089209850063e-16,FALSE
"V-PCA","Centers-Euclidean","Q_LC","0.305","0.305","28","28",0,4.44089209850063e-16,FALSE
"V-PCA","Centers-Euclidean","B_LC","0.061","0.061","11","11",-1.33333333333235e-06,4.44089209850063e-16,FALSE
"V-PCA","Hausdorff","Q_TC","0.920","0.920","14","14",4.68658445385017e-10,3.33066907387547e-16,FALSE
"V-PCA","Hausdorff","B_TC","0.063","0.063","13","13",-1.4059753916662e-09,3.33066907387547e-16,FALSE
"V-PCA","Hausdorff","Q_RE","0.917","0.917","13","13",-1.63322941837407e-08,3.33066907387547e-16,FALSE
"V-PCA","Hausdorff","B_RE","0.071","0.071","15","15",-1.13002416590735e-08,3.33066907387547e-16,FALSE
"V-PCA","Hausdorff","Q_LC","0.358","0.358","28","28",0,3.33066907387547e-16,FALSE
"V-PCA","Hausdorff","B_LC","0.064","0.064","10","10",1.26666666666608e-06,3.33066907387547e-16,FALSE
"V-PCA","Ichino-Yaguchi","Q_TC","0.908","0.908","15","15",-2.6244874051784e-08,4.44089209850063e-16,FALSE
"V-PCA","Ichino-Yaguchi","B_TC","0.070","0.070","15","15",-2.43702401869772e-08,4.44089209850063e-16,FALSE
"V-PCA","Ichino-Yaguchi","Q_RE","0.905","0.905","14","14",-4.18097273469087e-08,4.44089209850063e-16,FALSE
"V-PCA","Ichino-Yaguchi","B_RE","0.080","0.080","16","16",-6.20401811868287e-08,4.44089209850063e-16,FALSE
"V-PCA","Ichino-Yaguchi","Q_LC","0.323","0.323","27","27",-6.66666666315763e-08,4.44089209850063e-16,FALSE
"V-PCA","Ichino-Yaguchi","B_LC","0.056","0.056","11","11",-2.66666666665083e-07,4.44089209850063e-16,FALSE
"V-PCA","Int-Euclidean","Q_TC","0.924","0.924","14","14",-2.5776215606399e-09,4.44089209850063e-16,FALSE
"V-PCA","Int-Euclidean","B_TC","0.044","0.044","13","13",9.37316932403398e-10,4.44089209850063e-16,FALSE
"V-PCA","Int-Euclidean","Q_RE","0.915","0.915","14","14",-6.72245248356518e-09,4.44089209850063e-16,FALSE
"V-PCA","Int-Euclidean","B_RE","0.060","0.060","16","16",-1.15504779629738e-08,4.44089209850063e-16,FALSE
"V-PCA","Int-Euclidean","Q_LC","0.352","0.352","29","29",0,4.44089209850063e-16,FALSE
"V-PCA","Int-Euclidean","B_LC","0.053","0.053","10","10",-1.99999999998812e-07,4.44089209850063e-16,FALSE
"V-PCA","Wasserstein","Q_TC","0.907","0.907","15","15",-1.64030466986986e-09,4.30211422042248e-16,FALSE
"V-PCA","Wasserstein","B_TC","0.072","0.072","15","15",-6.56121852682379e-09,4.30211422042248e-16,FALSE
"V-PCA","Wasserstein","Q_RE","0.904","0.904","14","14",-6.55649823322335e-09,4.30211422042248e-16,FALSE
"V-PCA","Wasserstein","B_RE","0.081","0.081","16","16",-2.05893817134539e-08,4.30211422042248e-16,FALSE
"V-PCA","Wasserstein","Q_LC","0.319","0.319","27","27",0,4.30211422042248e-16,FALSE
"V-PCA","Wasserstein","B_LC","0.058","0.058","11","11",-8.66666666668459e-07,4.30211422042248e-16,FALSE
