"Method","Metric","K","Q_TC","B_TC","Q_RE","B_RE","Q_LC","B_LC"
"IMDS","Int-Euclidean",14,0.551756885090218,-0.0294396961063628,0.498875051738839,0.0397308313309955,0.58994708994709,0.0396825396825397
"IMDS","Int-Euclidean",15,0.514590347923681,-0.0471380471380471,0.492057480955068,0.0389825733558092,0.622222222222222,0.0370370370370371
"IMDS","Int-Euclidean",16,0.488888888888889,-0.0511784511784512,0.487782295578448,0.0385369567116864,0.659722222222222,0.0300925925925926
"IMDS","Int-Euclidean",17,0.461316872427984,-0.0551440329218107,0.484553580354427,0.0376063688387326,0.697167755991285,0.0217864923747277
"IMDS","Int-Euclidean",18,0.417695473251029,-0.0267489711934156,0.481232423274314,0.0375383532818088,0.730452674897119,0.00617283950617287
"IMDS","Int-Euclidean",19,0.387566137566138,-0.00264550264550256,0.479668991307531,0.0357279825776049,0.764132553606238,-0.00194931773879142
"IMDS","Int-Euclidean",20,0.364197530864198,0.0229276895943563,0.478311282633461,0.0342948089883981,0.8,-0.0111111111111111
"IMDS","Int-Euclidean",21,0.345679012345679,0.0740740740740741,0.476994179437688,0.0311968240618065,0.837742504409171,-0.0229276895943563
"IMDS","Int-Euclidean",22,0.312962962962963,0.1,0.476462945705539,0.0332783005260753,0.873737373737374,-0.0202020202020202
"IMDS","Int-Euclidean",23,0.237654320987654,0.0802469135802469,0.477224586615129,0.0340611110735057,0.900161030595813,-0.0128824476650564
"IMDS","Int-Euclidean",24,0.203703703703704,0.111111111111111,0.478935707251944,0.0352938384951599,0.933641975308642,-0.00925925925925924
"IMDS","Int-Euclidean",25,0.0370370370370371,0,0.480465790630998,0.037113267379534,0.961481481481481,0.00444444444444442
"Int-UMAP","Int-Euclidean",1,0.802222222222222,0.131851851851852,0.80982905982906,0.126780626780627,0.259259259259259,0
"Int-UMAP","Int-Euclidean",2,0.818360914105595,0.148936170212766,0.810916179337232,0.134502923976608,0.37037037037037,-0.037037037037037
"Int-UMAP","Int-Euclidean",3,0.785914702581369,0.120650953984287,0.790441176470588,0.120098039215686,0.358024691358025,-0.0246913580246914
"Int-UMAP","Int-Euclidean",4,0.803523035230352,0.0668473351400181,0.788171449595291,0.0984179543782193,0.462962962962963,0.0277777777777778
"Int-UMAP","Int-Euclidean",5,0.817738791423002,0.042495126705653,0.785554868836698,0.088552396648812,0.555555555555556,0.0518518518518518
"Int-UMAP","Int-Euclidean",6,0.781834215167548,0.0398589065255732,0.771883043231689,0.085034681324434,0.5,0.0432098765432099
"Int-UMAP","Int-Euclidean",7,0.770006613756614,0.0327380952380952,0.764228981947981,0.082132473770699,0.486772486772487,0.0529100529100529
"Int-UMAP","Int-Euclidean",8,0.770753512132823,0.0127713920817369,0.758866762333207,0.0771553583533617,0.518518518518518,0.0648148148148148
"Int-UMAP","Int-Euclidean",9,0.745014245014245,0.00728078505856289,0.749091914049257,0.0744774544012155,0.51440329218107,0.0617283950617284
"Int-UMAP","Int-Euclidean",10,0.733816425120773,-0.0132045088566828,0.741249600638599,0.0716651071426201,0.537037037037037,0.0777777777777778
"Int-UMAP","Int-Euclidean",11,0.723737373737374,-0.0191919191919192,0.734005924326604,0.0713093484564961,0.552188552188552,0.0808080808080808
"Int-UMAP","Int-Euclidean",12,0.714960058097313,-0.0232389251997094,0.727538976772044,0.0715693850320663,0.583333333333333,0.0864197530864198
"Int-UMAP","Int-Euclidean",13,0.696581196581197,-0.0215710215710216,0.720431032779977,0.0714851154679692,0.612535612535613,0.0797720797720798
"Int-UMAP","Int-Euclidean",14,0.678062678062678,-0.0246913580246912,0.713087513420406,0.0705619301770516,0.645502645502645,0.0714285714285715
"Int-UMAP","Int-Euclidean",15,0.672558922558923,-0.0297418630751963,0.708065113445705,0.0697095213113755,0.691358024691358,0.0666666666666667
"Int-UMAP","Int-Euclidean",16,0.662289562289562,-0.0572390572390573,0.70178891244868,0.0683763839197797,0.736111111111111,0.0717592592592593
"Int-UMAP","Int-Euclidean",17,0.663786008230453,-0.0633744855967079,0.697102672728187,0.0662559086795837,0.784313725490196,0.0653594771241831
"Int-UMAP","Int-Euclidean",18,0.615740740740741,-0.0257201646090536,0.69368826618144,0.0652207251479648,0.798353909465021,0.0493827160493827
"Int-UMAP","Int-Euclidean",19,0.571428571428572,0.0211640211640212,0.689720561801547,0.0635164971919318,0.824561403508772,0.0350877192982456
"Int-UMAP","Int-Euclidean",20,0.523809523809524,0.0811287477954145,0.686604345709766,0.0627916526276284,0.851851851851852,0.0240740740740741
"Int-UMAP","Int-Euclidean",21,0.465432098765432,0.106172839506173,0.685975565242166,0.0639741938434116,0.865961199294533,0.0282186948853616
"Int-UMAP","Int-Euclidean",22,0.418518518518519,0.0888888888888888,0.685500327600208,0.0632518866911138,0.885521885521885,0.0336700336700337
"Int-UMAP","Int-Euclidean",23,0.391975308641975,0.0432098765432098,0.685496675253791,0.0635680843884992,0.916264090177134,0.0434782608695652
"Int-UMAP","Int-Euclidean",24,0.388888888888889,0.0123456790123456,0.685583176237481,0.0642830928050041,0.949074074074074,0.0493827160493827
"Int-UMAP","Int-Euclidean",25,0.0370370370370371,0,0.687161430913786,0.0621823328208492,0.961481481481481,0.0488888888888889
"C-PCA","Hausdorff",1,0.954814814814815,0.0192592592592593,0.956552706552707,0.0185185185185185,0.592592592592593,0
"C-PCA","Hausdorff",2,0.967297084318361,0.0086682427107958,0.956384015594542,0.0121832358674464,0.796296296296296,0.0185185185185185
"C-PCA","Hausdorff",3,0.967452300785634,0.0145903479236812,0.955133442265795,0.014297385620915,0.765432098765432,0
"C-PCA","Hausdorff",4,0.971996386630533,0.00451671183378499,0.954439538876625,0.0114054451802796,0.722222222222222,0.0555555555555556
"C-PCA","Hausdorff",5,0.981481481481481,0.000389863547758273,0.952742297303484,0.0110561736025271,0.822222222222222,0.0814814814814815
"C-PCA","Hausdorff",6,0.984303350970018,-0.00105820105820098,0.95017013479911,0.00966278410330236,0.839506172839506,0.0679012345679013
"C-PCA","Hausdorff",7,0.986441798941799,0.000661375661375585,0.946904852194955,0.007888353167079,0.867724867724868,0.037037037037037
"C-PCA","Hausdorff",8,0.991698595146871,0.00191570881226055,0.943993256389263,0.0089239861841082,0.944444444444444,0.0416666666666667
"C-PCA","Hausdorff",9,0.988445710667933,0.00158277936055717,0.942824920452439,0.00829138658145737,0.930041152263374,0.0329218106995885
"C-PCA","Hausdorff",10,0.985346215780998,0.000322061191626477,0.941143609885771,0.00824414657061136,0.925925925925926,0.0296296296296296
"C-PCA","Hausdorff",11,0.982323232323232,0.00437710437710437,0.939476955878274,0.00844137941875747,0.919191919191919,0.0336700336700337
"C-PCA","Hausdorff",12,0.980936819172113,0.00326797385620914,0.937515684315447,0.00874017374716047,0.929012345679012,0.0432098765432098
"C-PCA","Hausdorff",13,0.973341473341473,-0.00366300366300365,0.934956711987128,0.00772464548742537,0.928774928774929,0.0484330484330484
"C-PCA","Hausdorff",14,0.965574548907882,-0.00617283950617276,0.932732674695372,0.00713716393865968,0.936507936507937,0.037037037037037
"C-PCA","Hausdorff",15,0.947250280583614,-0.00561167227833892,0.93033425973055,0.00766926007520825,0.923456790123457,0.0395061728395062
"C-PCA","Hausdorff",16,0.94006734006734,-0.00269360269360264,0.928875304488432,0.00760253573703545,0.918981481481482,0.0347222222222222
"C-PCA","Hausdorff",17,0.941975308641975,0.00411522633744854,0.927868378097138,0.00776541821299076,0.93681917211329,0.0305010893246187
"C-PCA","Hausdorff",18,0.931584362139918,0.0174897119341564,0.926413233146047,0.00751945312448811,0.944444444444444,0.0205761316872428
"C-PCA","Hausdorff",19,0.919312169312169,0.0105820105820106,0.925686753815651,0.00763896210242743,0.949317738791423,0.0292397660818713
"C-PCA","Hausdorff",20,0.91005291005291,0.00705467372134039,0.92503719631382,0.00768217551397067,0.961111111111111,0.0333333333333333
