"Method","Metric","K","Q_TC","B_TC","Q_RE","B_RE","Q_LC","B_LC"
"IMDS","Int-Euclidean",10,0.494057175930202,-0.0144837480219936,0.504627111162382,-0.0123782822881291,0.0151937984496124,0
"IMDS","Int-Euclidean",11,0.493654475431249,-0.0113179641175493,0.503978098489583,-0.0114002122424339,0.016631430584919,0.000281888653981677
"IMDS","Int-Euclidean",12,0.493464367688091,-0.0100562783686078,0.503444161737852,-0.0109930053844596,0.0180878552971576,0.000258397932816538
"IMDS","Int-Euclidean",13,0.493278187239117,-0.0111891234347049,0.502951017740319,-0.0113108525204377,0.0193202146690519,0.00190816935002982
"IMDS","Int-Euclidean",14,0.494705965413338,-0.0110582119123549,0.502974832892146,-0.0112637977365692,0.0218161683277962,0.00166112956810631
"IMDS","Int-Euclidean",15,0.495568849339881,-0.013316383758319,0.502870648015987,-0.0119185861363894,0.023359173126615,0.00227390180878553
"IMDS","Int-Euclidean",16,0.497129253102961,-0.0124718125542667,0.502991713447032,-0.0116950140992961,0.025968992248062,0.00155038759689922
"IMDS","Int-Euclidean",17,0.498430753749447,-0.013462279377694,0.503069057457907,-0.0119831448212415,0.0272685818513452,0.00155038759689922
"IMDS","Int-Euclidean",18,0.498491109507021,-0.0139168035373666,0.502819033012476,-0.0121259303094516,0.0292850990525409,0.00155038759689922
"IMDS","Int-Euclidean",19,0.498477827761793,-0.0138024765931742,0.502561672248456,-0.0121122701426619,0.0306813545491636,0.00187678498572011
"IMDS","Int-Euclidean",20,0.498481339211939,-0.0135496811550324,0.502317987114701,-0.0120599944959919,0.0321705426356589,0.00178294573643411
"IMDS","Int-Euclidean",21,0.498880416134485,-0.0138231753619287,0.502187001792606,-0.0121500942301968,0.0340346991509782,0.0011812476928756
"IMDS","Int-Euclidean",22,0.499872769798039,-0.0131871107968771,0.502219608307837,-0.0120026687239482,0.0357293868921776,0.000845665961945033
"IMDS","Int-Euclidean",23,0.499709979169775,-0.0136099277848686,0.501966709013255,-0.0121198881045571,0.0368048533872599,0.000741489720256151
"IMDS","Int-Euclidean",24,0.499675994046444,-0.0130109835045724,0.501750345906637,-0.0119750955862667,0.0382428940568475,0.00122739018087855
"IMDS","Int-Euclidean",25,0.501199443188639,-0.0144504297408784,0.501928889396479,-0.0123429229534389,0.0403100775193798,0.00155038759689922
"Int-UMAP","Int-Euclidean",1,0.674588592715831,0.297300685980204,0.67509388993211,0.296839038952285,0.013953488372093,0
"Int-UMAP","Int-Euclidean",2,0.65891110345786,0.29042638679935,0.664327429007511,0.292115515925614,0.0162790697674419,0.000775193798449612
"Int-UMAP","Int-Euclidean",3,0.662766472868217,0.300122739018088,0.665171978991919,0.296826200892514,0.0155038759689922,-0.0020671834625323
"Int-UMAP","Int-Euclidean",4,0.647899935046409,0.332456763368603,0.657487327170026,0.312421256553705,0.0158914728682171,-0.00465116279069767
"Int-UMAP","Int-Euclidean",5,0.660074233629051,0.310385163009748,0.661639106905347,0.304356789864118,0.0266666666666667,0.00651162790697674
