"IDR","Metric","Q_TC","B_TC","Q_RE","B_RE","Q_LC","B_LC","rep","kind"
"Int-UMAP","Hausdorff",0.001,0.002,0.001,0.025,0.001,0.001,4,"raw"
"Int-UMAP","Ichino-Yaguchi",0.001,0.001,0.001,0.036,0.001,0.001,4,"raw"
"Int-UMAP","Wasserstein",0.001,0.002,0.001,0.034,0.001,0.001,4,"raw"
"Int-UMAP","Centers-Euclidean",0.001,0.002,0.001,0.036,0.001,0.001,4,"raw"
"C-PCA","Int-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,4,"minP"
"C-PCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,4,"minP"
"C-PCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,4,"minP"
"C-PCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,4,"minP"
"C-PCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,4,"minP"
"V-PCA","Int-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,4,"minP"
"V-PCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,4,"minP"
"V-PCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,4,"minP"
"V-PCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,4,"minP"
"V-PCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,4,"minP"
"MR-PCA","Int-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,4,"minP"
"MR-PCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,4,"minP"
"MR-PCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,4,"minP"
"MR-PCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,4,"minP"
"MR-PCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,4,"minP"
"SPCA","Int-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,4,"minP"
"SPCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,4,"minP"
"SPCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,4,"minP"
"SPCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,4,"minP"
"SPCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,4,"minP"
"IMDS","Int-Euclidean",0.001,0.001,0.001,0.001,0.001,1,4,"minP"
"IMDS","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.901,4,"minP"
"IMDS","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.85,4,"minP"
"IMDS","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.908,4,"minP"
"IMDS","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.017,4,"minP"
"Int-UMAP","Int-Euclidean",0.001,0.004,0.001,0.061,0.001,0.001,4,"minP"
